"date","source","cases"
2010-10-31,"confirmed",0
2010-11-07,"confirmed",0
2010-11-14,"confirmed",0
2010-11-21,"confirmed",0
2010-11-28,"confirmed",0
2010-12-05,"confirmed",0
2010-12-12,"confirmed",0
2010-12-19,"confirmed",0
2010-12-26,"confirmed",0
2011-01-02,"confirmed",0
2011-01-09,"confirmed",0
2011-01-16,"confirmed",0
2011-01-23,"confirmed",0
2011-01-30,"confirmed",0
2011-02-06,"confirmed",0
2011-02-13,"confirmed",0
2011-02-20,"confirmed",0
2011-02-27,"confirmed",0
2011-03-06,"confirmed",0
2011-03-13,"confirmed",0
2011-03-20,"confirmed",0
2011-03-27,"confirmed",0
2011-04-03,"confirmed",0
2011-04-10,"confirmed",0
2011-04-17,"confirmed",0
2011-04-24,"confirmed",0
2011-05-01,"confirmed",0
2011-05-08,"confirmed",0
2011-05-15,"confirmed",0
2011-05-22,"confirmed",0
2011-05-29,"confirmed",0
2011-06-05,"confirmed",0
2011-06-12,"confirmed",0
2011-06-19,"confirmed",0
2011-06-26,"confirmed",0
2011-07-03,"confirmed",0
2011-07-10,"confirmed",0
2011-07-17,"confirmed",0
2011-07-24,"confirmed",0
2011-07-31,"confirmed",0
2011-08-07,"confirmed",0
2011-08-14,"confirmed",0
2011-08-21,"confirmed",0
2011-08-28,"confirmed",0
2011-09-04,"confirmed",0
2011-09-11,"confirmed",0
2011-09-18,"confirmed",0
2011-09-25,"confirmed",0
2011-10-02,"confirmed",0
2011-10-09,"confirmed",0
2011-10-16,"confirmed",0
2011-10-23,"confirmed",0
2011-10-30,"confirmed",0
2011-11-06,"confirmed",0
2011-11-13,"confirmed",0
2011-11-20,"confirmed",0
2011-11-27,"confirmed",0
2011-12-04,"confirmed",0
2011-12-11,"confirmed",0
2011-12-18,"confirmed",0
2011-12-25,"confirmed",0
2012-01-01,"confirmed",0
2012-01-08,"confirmed",0
2012-01-15,"confirmed",0
2012-01-22,"confirmed",0
2012-01-29,"confirmed",0
2012-02-05,"confirmed",0
2012-02-12,"confirmed",0
2012-02-19,"confirmed",0
2012-02-26,"confirmed",0
2012-03-04,"confirmed",0
2012-03-11,"confirmed",0
2012-03-18,"confirmed",0
2012-03-25,"confirmed",0
2012-04-01,"confirmed",0
2012-04-08,"confirmed",0
2012-04-15,"confirmed",0
2012-04-22,"confirmed",0
2012-04-29,"confirmed",0
2012-05-06,"confirmed",0
2012-05-13,"confirmed",0
2012-05-20,"confirmed",0
2012-05-27,"confirmed",0
2012-06-03,"confirmed",0
2012-06-10,"confirmed",0
2012-06-17,"confirmed",0
2012-06-24,"confirmed",0
2012-07-01,"confirmed",0
2012-07-08,"confirmed",0
2012-07-15,"confirmed",0
2012-07-22,"confirmed",0
2012-07-29,"confirmed",0
2012-08-05,"confirmed",0
2012-08-12,"confirmed",0
2012-08-19,"confirmed",0
2012-08-26,"confirmed",0
2012-09-02,"confirmed",0
2012-09-09,"confirmed",0
2012-09-16,"confirmed",0
2012-09-23,"confirmed",0
2012-09-30,"confirmed",0
2012-10-07,"confirmed",0
2012-10-14,"confirmed",0
2012-10-21,"confirmed",0
2012-10-28,"confirmed",0
2012-11-04,"confirmed",0
2012-11-11,"confirmed",0
2012-11-18,"confirmed",0
2012-11-25,"confirmed",0
2012-12-02,"confirmed",0
2012-12-09,"confirmed",0
2012-12-16,"confirmed",0
2012-12-23,"confirmed",0
2012-12-30,"confirmed",0
2013-01-06,"confirmed",0
2013-01-13,"confirmed",0
2013-01-20,"confirmed",0
2013-01-27,"confirmed",0
2013-02-03,"confirmed",0
2013-02-10,"confirmed",0
2013-02-17,"confirmed",0
2013-02-24,"confirmed",0
2013-03-03,"confirmed",0
2013-03-10,"confirmed",2
2013-03-17,"confirmed",6
2013-03-24,"confirmed",2
2013-03-31,"confirmed",0
2013-04-07,"confirmed",2
2013-04-14,"confirmed",2
2013-04-21,"confirmed",4
2013-04-28,"confirmed",2
2013-05-05,"confirmed",0
2013-05-12,"confirmed",0
2013-05-19,"confirmed",4
2013-05-26,"confirmed",2
2013-06-02,"confirmed",6
2013-06-09,"confirmed",2
2013-06-16,"confirmed",6
2013-06-23,"confirmed",0
2013-06-30,"confirmed",4
2013-07-07,"confirmed",2
2013-07-14,"confirmed",2
2013-07-21,"confirmed",4
2013-07-28,"confirmed",6
2013-08-04,"confirmed",0
2013-08-11,"confirmed",10
2013-08-18,"confirmed",0
2013-08-25,"confirmed",2
2013-09-01,"confirmed",2
2013-09-08,"confirmed",4
2013-09-15,"confirmed",2
2013-09-22,"confirmed",0
2013-09-29,"confirmed",0
2013-10-06,"confirmed",0
2013-10-13,"confirmed",2
2013-10-20,"confirmed",0
2013-10-27,"confirmed",2
2013-11-03,"confirmed",0
2013-11-10,"confirmed",2
2013-11-17,"confirmed",0
2013-11-24,"confirmed",0
2013-12-01,"confirmed",2
2013-12-08,"confirmed",4
2013-12-15,"confirmed",6
2013-12-22,"confirmed",0
2013-12-29,"confirmed",0
2014-01-05,"confirmed",0
2014-01-12,"confirmed",0
2014-01-19,"confirmed",0
2014-01-26,"confirmed",0
2014-02-02,"confirmed",2
2014-02-09,"confirmed",0
2014-02-16,"confirmed",0
2014-02-23,"confirmed",0
2014-03-02,"confirmed",2
2014-03-09,"confirmed",2
2014-03-16,"confirmed",0
2014-03-23,"confirmed",0
2014-03-30,"confirmed",2
2014-04-06,"confirmed",0
2014-04-13,"confirmed",2
2014-04-20,"confirmed",0
2014-04-27,"confirmed",4
2014-05-04,"confirmed",0
2014-05-11,"confirmed",0
2014-05-18,"confirmed",4
2014-05-25,"confirmed",4
2014-06-01,"confirmed",6
2014-06-08,"confirmed",6
2014-06-15,"confirmed",4
2014-06-22,"confirmed",10
2014-06-29,"confirmed",4
2014-07-06,"confirmed",2
2014-07-13,"confirmed",10
2014-07-20,"confirmed",6
2014-07-27,"confirmed",0
2014-08-03,"confirmed",4
2014-08-10,"confirmed",8
2014-08-17,"confirmed",2
2014-08-24,"confirmed",4
2014-08-31,"confirmed",0
2014-09-07,"confirmed",18
2014-09-14,"confirmed",4
2014-09-21,"confirmed",0
2014-09-28,"confirmed",2
2014-10-05,"confirmed",0
2014-10-12,"confirmed",0
2014-10-19,"confirmed",0
2014-10-26,"confirmed",2
2014-11-02,"confirmed",0
2014-11-09,"confirmed",0
2014-11-16,"confirmed",2
2014-11-23,"confirmed",0
2014-11-30,"confirmed",0
2014-12-07,"confirmed",2
2014-12-14,"confirmed",2
2014-12-21,"confirmed",0
2014-12-28,"confirmed",2
2015-01-04,"confirmed",0
2015-01-11,"confirmed",0
2015-01-18,"confirmed",0
2015-01-25,"confirmed",0
2015-02-01,"confirmed",2
2015-02-08,"confirmed",0
2015-02-15,"confirmed",0
2015-02-22,"confirmed",0
2015-03-01,"confirmed",0
2015-03-08,"confirmed",0
2015-03-15,"confirmed",0
2015-03-22,"confirmed",0
2015-03-29,"confirmed",0
2015-04-05,"confirmed",0
2015-04-12,"confirmed",0
2015-04-19,"confirmed",0
2015-04-26,"confirmed",4
2015-05-03,"confirmed",6
2015-05-10,"confirmed",0
2015-05-17,"confirmed",2
2015-05-24,"confirmed",8
2015-05-31,"confirmed",4
2015-06-07,"confirmed",14
2015-06-14,"confirmed",8
2015-06-21,"confirmed",0
2015-06-28,"confirmed",8
2015-07-05,"confirmed",2
2015-07-12,"confirmed",0
2015-07-19,"confirmed",4
2015-07-26,"confirmed",0
2015-08-02,"confirmed",4
2015-08-09,"confirmed",8
2015-08-16,"confirmed",6
2015-08-23,"confirmed",4
2015-08-30,"confirmed",2
2015-09-06,"confirmed",2
2015-09-13,"confirmed",2
2015-09-20,"confirmed",8
2015-09-27,"confirmed",0
2015-10-04,"confirmed",2
2015-10-11,"confirmed",2
2015-10-18,"confirmed",2
2015-10-25,"confirmed",4
2015-11-01,"confirmed",0
2015-11-08,"confirmed",6
2015-11-15,"confirmed",0
2015-11-22,"confirmed",0
2015-11-29,"confirmed",0
2015-12-06,"confirmed",4
2015-12-13,"confirmed",2
2015-12-20,"confirmed",0
